ID;document;source
0;"Artículo 337.  
Los Presidentes de las Audiencias Provinciales serán nombrados por un período de 
cinco años renovable por un único mandato de otros cinco años, a propuesta del Consejo 
General del Poder Judicial, entre los magistrados que lo soliciten, de entre los que lleven 
diez años de servicios en la carrera.
Artículo 338.  
Los Presidentes de la Audiencia Nacional, de los Tribunales Superiores de Justicia, de 
las Audiencias, de Sala de la Audiencia Nacional y de Sala de los Tribunales Superiores de 
Justicia, cesarán por alguna de las causas siguientes:
1.º Por expiración de su mandato, salvo que sean confirmados por un único mandato de 
otros cinco años.
2.º Por dimisión, aceptada por el Consejo General.
3.º Por resolución acordada en expediente disciplinario.
Artículo 339.  
El Presidente de la Audiencia Nacional y los Presidentes de los Tribunales Superiores de 
Justicia, cuando cesen en el cargo, quedarán adscritos, a su elección, al Tribunal o 
Audiencia en que cesen o a aquél del que provinieran en su último destino, hasta la 
adjudicación de la plaza correspondiente del que hubieren elegido. Si hubieren agotado la";False
0;"refrendado por el Presidente del Gobierno.
5. El Presidente del Tribunal Supremo prestará juramento o promesa ante el Rey y 
tomará posesión de su cargo ante el Pleno de dicho Alto Tribunal.
Artículo 587.  
1. La duración del mandato del Presidente del Tribunal Supremo y del Consejo General 
del Poder Judicial coincidirá con la del Consejo que lo haya elegido.
2. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial podrá 
ser reelegido y nombrado, por una sola vez, para un nuevo mandato.
Artículo 588.  
1. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial cesará 
por las siguientes causas:CÓDIGO PROCESAL PENAL
§ 3  Ley Orgánica del Poder Judicial
– 416 –";False
0;"Artículo 208.  
1. El Presidente del Tribunal Supremo, el Presidente de la Audiencia Nacional y los 
Presidentes de los Tribunales Superiores de Justicia serán sustituidos por el Presidente de la 
Sala de la misma sede más antiguo en el cargo. No obstante, la Sala de Gobierno será 
convocada y presidida por el Presidente de Sala más antiguo en el cargo, aunque sea de 
distinta sede.
2. Los Presidentes de las Audiencias Provinciales serán sustituidos por el Presidente de 
Sección más antiguo o, si no las hubiere, por el Magistrado con mejor puesto en el 
escalafón.
3. Cuando la plantilla de la Audiencia no comprenda otra plaza que la de su Presidente, 
le sustituirá el Magistrado titular que se hallare en turno para acudir a completar la Audiencia.
Artículo 209.  
1. Los Presidentes de las Salas y de las Secciones serán sustituidos por el Magistrado 
con mejor puesto en el escalafón de la Sala o Sección de que se trate.
2. En caso de vacante, asumirá la presidencia de la Sala el Presidente de la Audiencia o 
Tribunal, si lo estimare procedente.
Artículo 210.  
1. Las sustituciones de jueces y magistrados en órganos judiciales unipersonales se";False
0;"1.ª Por haber expirado el término de su mandato, que se entenderá agotado, en todo 
caso, en la misma fecha en que concluya el del Consejo por el que hubiere sido elegido.
2.ª Por renuncia.
3.ª Por decisión del Pleno del Consejo General del Poder Judicial, a causa de notoria 
incapacidad o incumplimiento grave de los deberes del cargo, apreciados por tres quintos de 
sus miembros.
2. Las causas segunda y tercera de este artículo se comunicarán al Gobierno por 
mediación del Ministro de Justicia. En tales casos se procederá a nuevo nombramiento de 
Presidente del Tribunal Supremo y del Consejo General del Poder Judicial.
Artículo 589.  
1. En el primer Pleno ordinario del Consejo General del Poder Judicial posterior a la 
elección del Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, se 
deberá elegir al Vicepresidente del Tribunal Supremo.
2. El Vicepresidente del Tribunal Supremo será nombrado, por mayoría absoluta, por el 
Pleno del Consejo General del Poder Judicial, a propuesta del Presidente. Para figurar en la 
propuesta será preciso tener la categoría de Magistrado del Tribunal Supremo, estar en";False
1;"Artículo 337.  
Los Presidentes de las Audiencias Provinciales serán nombrados por un período de 
cinco años renovable por un único mandato de otros cinco años, a propuesta del Consejo 
General del Poder Judicial, entre los magistrados que lo soliciten, de entre los que lleven 
diez años de servicios en la carrera.
Artículo 338.  
Los Presidentes de la Audiencia Nacional, de los Tribunales Superiores de Justicia, de 
las Audiencias, de Sala de la Audiencia Nacional y de Sala de los Tribunales Superiores de 
Justicia, cesarán por alguna de las causas siguientes:
1.º Por expiración de su mandato, salvo que sean confirmados por un único mandato de 
otros cinco años.
2.º Por dimisión, aceptada por el Consejo General.
3.º Por resolución acordada en expediente disciplinario.
Artículo 339.  
El Presidente de la Audiencia Nacional y los Presidentes de los Tribunales Superiores de 
Justicia, cuando cesen en el cargo, quedarán adscritos, a su elección, al Tribunal o 
Audiencia en que cesen o a aquél del que provinieran en su último destino, hasta la 
adjudicación de la plaza correspondiente del que hubieren elegido. Si hubieren agotado la";False
1;"refrendado por el Presidente del Gobierno.
5. El Presidente del Tribunal Supremo prestará juramento o promesa ante el Rey y 
tomará posesión de su cargo ante el Pleno de dicho Alto Tribunal.
Artículo 587.  
1. La duración del mandato del Presidente del Tribunal Supremo y del Consejo General 
del Poder Judicial coincidirá con la del Consejo que lo haya elegido.
2. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial podrá 
ser reelegido y nombrado, por una sola vez, para un nuevo mandato.
Artículo 588.  
1. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial cesará 
por las siguientes causas:CÓDIGO PROCESAL PENAL
§ 3  Ley Orgánica del Poder Judicial
– 416 –";False
1;"Artículo 208.  
1. El Presidente del Tribunal Supremo, el Presidente de la Audiencia Nacional y los 
Presidentes de los Tribunales Superiores de Justicia serán sustituidos por el Presidente de la 
Sala de la misma sede más antiguo en el cargo. No obstante, la Sala de Gobierno será 
convocada y presidida por el Presidente de Sala más antiguo en el cargo, aunque sea de 
distinta sede.
2. Los Presidentes de las Audiencias Provinciales serán sustituidos por el Presidente de 
Sección más antiguo o, si no las hubiere, por el Magistrado con mejor puesto en el 
escalafón.
3. Cuando la plantilla de la Audiencia no comprenda otra plaza que la de su Presidente, 
le sustituirá el Magistrado titular que se hallare en turno para acudir a completar la Audiencia.
Artículo 209.  
1. Los Presidentes de las Salas y de las Secciones serán sustituidos por el Magistrado 
con mejor puesto en el escalafón de la Sala o Sección de que se trate.
2. En caso de vacante, asumirá la presidencia de la Sala el Presidente de la Audiencia o 
Tribunal, si lo estimare procedente.
Artículo 210.  
1. Las sustituciones de jueces y magistrados en órganos judiciales unipersonales se";False
1;"1.ª Por haber expirado el término de su mandato, que se entenderá agotado, en todo 
caso, en la misma fecha en que concluya el del Consejo por el que hubiere sido elegido.
2.ª Por renuncia.
3.ª Por decisión del Pleno del Consejo General del Poder Judicial, a causa de notoria 
incapacidad o incumplimiento grave de los deberes del cargo, apreciados por tres quintos de 
sus miembros.
2. Las causas segunda y tercera de este artículo se comunicarán al Gobierno por 
mediación del Ministro de Justicia. En tales casos se procederá a nuevo nombramiento de 
Presidente del Tribunal Supremo y del Consejo General del Poder Judicial.
Artículo 589.  
1. En el primer Pleno ordinario del Consejo General del Poder Judicial posterior a la 
elección del Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, se 
deberá elegir al Vicepresidente del Tribunal Supremo.
2. El Vicepresidente del Tribunal Supremo será nombrado, por mayoría absoluta, por el 
Pleno del Consejo General del Poder Judicial, a propuesta del Presidente. Para figurar en la 
propuesta será preciso tener la categoría de Magistrado del Tribunal Supremo, estar en";False
2;"Artículo 337.  
Los Presidentes de las Audiencias Provinciales serán nombrados por un período de 
cinco años renovable por un único mandato de otros cinco años, a propuesta del Consejo 
General del Poder Judicial, entre los magistrados que lo soliciten, de entre los que lleven 
diez años de servicios en la carrera.
Artículo 338.  
Los Presidentes de la Audiencia Nacional, de los Tribunales Superiores de Justicia, de 
las Audiencias, de Sala de la Audiencia Nacional y de Sala de los Tribunales Superiores de 
Justicia, cesarán por alguna de las causas siguientes:
1.º Por expiración de su mandato, salvo que sean confirmados por un único mandato de 
otros cinco años.
2.º Por dimisión, aceptada por el Consejo General.
3.º Por resolución acordada en expediente disciplinario.
Artículo 339.  
El Presidente de la Audiencia Nacional y los Presidentes de los Tribunales Superiores de 
Justicia, cuando cesen en el cargo, quedarán adscritos, a su elección, al Tribunal o 
Audiencia en que cesen o a aquél del que provinieran en su último destino, hasta la 
adjudicación de la plaza correspondiente del que hubieren elegido. Si hubieren agotado la";False
2;"refrendado por el Presidente del Gobierno.
5. El Presidente del Tribunal Supremo prestará juramento o promesa ante el Rey y 
tomará posesión de su cargo ante el Pleno de dicho Alto Tribunal.
Artículo 587.  
1. La duración del mandato del Presidente del Tribunal Supremo y del Consejo General 
del Poder Judicial coincidirá con la del Consejo que lo haya elegido.
2. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial podrá 
ser reelegido y nombrado, por una sola vez, para un nuevo mandato.
Artículo 588.  
1. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial cesará 
por las siguientes causas:CÓDIGO PROCESAL PENAL
§ 3  Ley Orgánica del Poder Judicial
– 416 –";False
2;"Artículo 208.  
1. El Presidente del Tribunal Supremo, el Presidente de la Audiencia Nacional y los 
Presidentes de los Tribunales Superiores de Justicia serán sustituidos por el Presidente de la 
Sala de la misma sede más antiguo en el cargo. No obstante, la Sala de Gobierno será 
convocada y presidida por el Presidente de Sala más antiguo en el cargo, aunque sea de 
distinta sede.
2. Los Presidentes de las Audiencias Provinciales serán sustituidos por el Presidente de 
Sección más antiguo o, si no las hubiere, por el Magistrado con mejor puesto en el 
escalafón.
3. Cuando la plantilla de la Audiencia no comprenda otra plaza que la de su Presidente, 
le sustituirá el Magistrado titular que se hallare en turno para acudir a completar la Audiencia.
Artículo 209.  
1. Los Presidentes de las Salas y de las Secciones serán sustituidos por el Magistrado 
con mejor puesto en el escalafón de la Sala o Sección de que se trate.
2. En caso de vacante, asumirá la presidencia de la Sala el Presidente de la Audiencia o 
Tribunal, si lo estimare procedente.
Artículo 210.  
1. Las sustituciones de jueces y magistrados en órganos judiciales unipersonales se";False
2;"1.ª Por haber expirado el término de su mandato, que se entenderá agotado, en todo 
caso, en la misma fecha en que concluya el del Consejo por el que hubiere sido elegido.
2.ª Por renuncia.
3.ª Por decisión del Pleno del Consejo General del Poder Judicial, a causa de notoria 
incapacidad o incumplimiento grave de los deberes del cargo, apreciados por tres quintos de 
sus miembros.
2. Las causas segunda y tercera de este artículo se comunicarán al Gobierno por 
mediación del Ministro de Justicia. En tales casos se procederá a nuevo nombramiento de 
Presidente del Tribunal Supremo y del Consejo General del Poder Judicial.
Artículo 589.  
1. En el primer Pleno ordinario del Consejo General del Poder Judicial posterior a la 
elección del Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, se 
deberá elegir al Vicepresidente del Tribunal Supremo.
2. El Vicepresidente del Tribunal Supremo será nombrado, por mayoría absoluta, por el 
Pleno del Consejo General del Poder Judicial, a propuesta del Presidente. Para figurar en la 
propuesta será preciso tener la categoría de Magistrado del Tribunal Supremo, estar en";False
3;"Artículo 337.  
Los Presidentes de las Audiencias Provinciales serán nombrados por un período de 
cinco años renovable por un único mandato de otros cinco años, a propuesta del Consejo 
General del Poder Judicial, entre los magistrados que lo soliciten, de entre los que lleven 
diez años de servicios en la carrera.
Artículo 338.  
Los Presidentes de la Audiencia Nacional, de los Tribunales Superiores de Justicia, de 
las Audiencias, de Sala de la Audiencia Nacional y de Sala de los Tribunales Superiores de 
Justicia, cesarán por alguna de las causas siguientes:
1.º Por expiración de su mandato, salvo que sean confirmados por un único mandato de 
otros cinco años.
2.º Por dimisión, aceptada por el Consejo General.
3.º Por resolución acordada en expediente disciplinario.
Artículo 339.  
El Presidente de la Audiencia Nacional y los Presidentes de los Tribunales Superiores de 
Justicia, cuando cesen en el cargo, quedarán adscritos, a su elección, al Tribunal o 
Audiencia en que cesen o a aquél del que provinieran en su último destino, hasta la 
adjudicación de la plaza correspondiente del que hubieren elegido. Si hubieren agotado la";False
3;"refrendado por el Presidente del Gobierno.
5. El Presidente del Tribunal Supremo prestará juramento o promesa ante el Rey y 
tomará posesión de su cargo ante el Pleno de dicho Alto Tribunal.
Artículo 587.  
1. La duración del mandato del Presidente del Tribunal Supremo y del Consejo General 
del Poder Judicial coincidirá con la del Consejo que lo haya elegido.
2. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial podrá 
ser reelegido y nombrado, por una sola vez, para un nuevo mandato.
Artículo 588.  
1. El Presidente del Tribunal Supremo y del Consejo General del Poder Judicial cesará 
por las siguientes causas:CÓDIGO PROCESAL PENAL
§ 3  Ley Orgánica del Poder Judicial
– 416 –";False
3;"Artículo 208.  
1. El Presidente del Tribunal Supremo, el Presidente de la Audiencia Nacional y los 
Presidentes de los Tribunales Superiores de Justicia serán sustituidos por el Presidente de la 
Sala de la misma sede más antiguo en el cargo. No obstante, la Sala de Gobierno será 
convocada y presidida por el Presidente de Sala más antiguo en el cargo, aunque sea de 
distinta sede.
2. Los Presidentes de las Audiencias Provinciales serán sustituidos por el Presidente de 
Sección más antiguo o, si no las hubiere, por el Magistrado con mejor puesto en el 
escalafón.
3. Cuando la plantilla de la Audiencia no comprenda otra plaza que la de su Presidente, 
le sustituirá el Magistrado titular que se hallare en turno para acudir a completar la Audiencia.
Artículo 209.  
1. Los Presidentes de las Salas y de las Secciones serán sustituidos por el Magistrado 
con mejor puesto en el escalafón de la Sala o Sección de que se trate.
2. En caso de vacante, asumirá la presidencia de la Sala el Presidente de la Audiencia o 
Tribunal, si lo estimare procedente.
Artículo 210.  
1. Las sustituciones de jueces y magistrados en órganos judiciales unipersonales se";False
3;"1.ª Por haber expirado el término de su mandato, que se entenderá agotado, en todo 
caso, en la misma fecha en que concluya el del Consejo por el que hubiere sido elegido.
2.ª Por renuncia.
3.ª Por decisión del Pleno del Consejo General del Poder Judicial, a causa de notoria 
incapacidad o incumplimiento grave de los deberes del cargo, apreciados por tres quintos de 
sus miembros.
2. Las causas segunda y tercera de este artículo se comunicarán al Gobierno por 
mediación del Ministro de Justicia. En tales casos se procederá a nuevo nombramiento de 
Presidente del Tribunal Supremo y del Consejo General del Poder Judicial.
Artículo 589.  
1. En el primer Pleno ordinario del Consejo General del Poder Judicial posterior a la 
elección del Presidente del Tribunal Supremo y del Consejo General del Poder Judicial, se 
deberá elegir al Vicepresidente del Tribunal Supremo.
2. El Vicepresidente del Tribunal Supremo será nombrado, por mayoría absoluta, por el 
Pleno del Consejo General del Poder Judicial, a propuesta del Presidente. Para figurar en la 
propuesta será preciso tener la categoría de Magistrado del Tribunal Supremo, estar en";False
3;"Artículo 433.  
1. Quienes ocuparen plazas judiciales en régimen de provisión temporal cesarán:
a) Por transcurso de plazo para el que fueron nombrados.
b) Por dimisión, aceptada por la Sala de Gobierno que los nombró.
c) Por cumplir la edad de setenta y dos años.
d) Por decisión de dicha Sala, cuando incurrieren en alguna de las causas de 
incapacidad, incompatibilidad o prohibición establecida en esta Ley, previa una sumaria 
información con audiencia del interesado y del Ministerio Fiscal.
e) Por acuerdo de aquélla, cuando se advirtiere en ellos falta de aptitud o idoneidad para 
el ejercicio de cargo y cuando dejaren de atender diligentemente los deberes de éste con las 
mismas garantías en cuanto a procedimiento establecidas en la letra anterior.
f) Cuando fuere nombrado un Juez titular para la plaza servida en régimen de provisión 
temporal.
2. Los ceses, cualquiera que fuere la causa que los determine, se comunicarán al 
Consejo General del Poder Judicial.
TÍTULO V
De la formación continua de los jueces y magistrados
Artículo 433 bis.  
1. El Consejo General del Poder Judicial garantizará que todos los Jueces y Magistrados";False
